pattern,n_tokens,n_docs,atp,delta_p,h_slot,npmi,dispersion,g_squared,p_value,p_value_fdr
"modal-be,pp_outside_NP",1,1,0.3128596759545578,0.13754241396025207,0.0,0.31208614387221656,0.9824561403508779,0.4387473921227736,0.803021576075975,0.9901958642129153
"past-be,pp_near_NP",1,1,0.2370210174378861,0.46219098400387787,0.0,0.35718013700302753,0.9912280701754392,0.4387473921227736,0.803021576075975,0.9901958642129153
"pres-be,pp_down_NP",1,1,0.10309035231478274,0.19846271033861917,0.0,0.36748168257824965,0.9824561403508781,0.4387473921227736,0.803021576075975,0.9901958642129153
"modal-be,pp_about_NP",1,1,0.5005414500699238,0.887542413960252,0.0,0.16573518579635457,0.9912280701754396,0.4387473921227736,0.803021576075975,0.9901958642129153
"past-be,pp_due_NP",1,1,0.2282887038097896,0.4520116335433834,0.0,0.12521935650817229,0.9824561403508779,0.4387473921227736,0.803021576075975,0.9901958642129153
"modal-be,pp_after_NP",1,1,0.44520581217510485,0.887542413960252,0.0,0.08012536337736131,0.99122807017544,0.4387473921227736,0.803021576075975,0.9901958642129153
"prog-be,pp_during_NP",1,1,0.4882736760785264,0.9689772176442074,0.0,0.10601159332068066,0.9912280701754392,0.4387473921227736,0.803021576075975,0.9901958642129153
"perf-be,pp_throughout_NP",1,1,0.39235105445106117,0.16461463887542416,0.0,0.09702556478270356,0.9736842105263166,0.4387473921227736,0.803021576075975,0.9901958642129153
"past-be,pp_across_NP",1,1,0.10304633832263498,0.20201163354338342,0.0,0.35718013700302753,0.9912280701754398,0.4387473921227736,0.803021576075975,0.9901958642129153
"pres-be,pp_like_NP",1,1,0.4657251737443774,0.920261754726127,0.0,0.22113072450238766,0.9912280701754392,0.4387473921227736,0.803021576075975,0.9901958642129153
"pres-be,pp_without_NP",1,1,0.4576419184574783,0.9127484246243335,0.0,0.027665281308223252,0.9912280701754398,0.4387473921227736,0.803021576075975,0.9901958642129153
"pres-be,pp_onto_NP",1,1,0.46152945145839197,0.920261754726127,0.0,0.36748168257824965,0.9824561403508778,0.4387473921227736,0.803021576075975,0.9901958642129153
"past-be,pp_inside_NP",1,1,0.15060373864300186,0.2955243173372112,0.0,0.35718013700302753,0.9912280701754393,0.4387473921227736,0.803021576075975,0.9901958642129153
"past-be,pp_at_NP",1,1,0.1513193006164407,0.28534496687671673,0.0,-0.08187273722455832,0.9912280701754392,0.4387473921227736,0.803021576075975,0.9901958642129153
"modal-be,pp_before_NP",1,1,0.29276401471464947,0.2208757472935854,0.0,0.16573518579635457,0.9824561403508784,0.4387473921227736,0.803021576075975,0.9901958642129153
"modal-be,pp_like_NP",1,1,0.36509846881424773,0.2781674139602521,0.0,0.16573518579635457,0.99122807017544,0.4387473921227736,0.803021576075975,0.9901958642129153
"pres-be,pp_towards_NP",1,1,0.4576419184574783,0.9127484246243335,0.0,0.36748168257824965,0.9736842105263166,0.4387473921227736,0.803021576075975,0.9901958642129153
"perf-be,pp_under_NP",1,1,0.5925934199382158,0.9646146388754241,0.0,0.18263538720169686,0.9912280701754398,0.4387473921227736,0.803021576075975,0.9901958642129153
"modal-be,pp_during_NP",1,1,0.443771165059985,0.9646146388754241,0.0,0.08012536337736131,0.9824561403508779,0.4387473921227736,0.803021576075975,0.9901958642129153
"past-be,pp_before_NP",1,1,0.14699589202739954,0.28534496687671673,0.0,0.2108291789271656,0.9385964912280711,0.4387473921227736,0.803021576075975,0.9901958642129153
"past-be,pp_until_NP",1,1,0.3449266573357703,0.6662973478290978,0.0,0.35718013700302753,0.9385964912280711,0.4387473921227736,0.803021576075975,0.9901958642129153
"prog-be,pp_of_NP",1,1,0.23815249333494912,0.46897721764420747,0.0,-0.14819498553035243,0.9385964912280711,0.4387473921227736,0.803021576075975,0.9901958642129153
"past-be,pp_above_NP",1,1,0.48081395633504215,0.9520116335433835,0.0,0.35718013700302753,0.9912280701754396,0.4387473921227736,0.803021576075975,0.9901958642129153
"modal-be,pp_among_NP",1,1,0.4176257270964614,0.5542090806269186,0.0,0.31208614387221656,0.9824561403508778,0.4387473921227736,0.803021576075975,0.9901958642129153
"perf-be,pp_about_NP",1,1,0.42618587551488835,0.29794797220875746,0.0,0.18263538720169686,0.9824561403508784,0.4387473921227736,0.803021576075975,0.9901958642129153
"pres-be,pp_below_NP",1,1,0.12795375263790398,0.2535950880594603,0.0,0.36748168257824965,0.9824561403508784,0.4387473921227736,0.803021576075975,0.9901958642129153
"pres-be,pp_throughout_NP",1,1,0.25993496526094684,0.5127484246243335,0.0,0.13552090208339437,0.9824561403508778,0.4387473921227736,0.803021576075975,0.9901958642129153
"modal-be,pp_within_NP",1,1,0.3071984499752063,0.30420908062691876,0.0,0.31208614387221656,0.9824561403508778,0.4387473921227736,0.803021576075975,0.9901958642129153
"perf-be,pp_over_NP",1,1,0.3820401907054136,0.118460792721578,0.0,0.09702556478270356,0.9824561403508779,0.4387473921227736,0.803021576075975,0.9901958642129153
"prog-be,pp_with_NP",1,1,0.23815249333494912,0.46897721764420747,0.0,-0.001844027454490457,0.9912280701754396,0.4387473921227736,0.803021576075975,0.9901958642129153
"modal-be,pp_instead_NP",1,1,0.352387136382124,0.2875424139602521,0.0,0.31208614387221656,0.9824561403508779,0.4387473921227736,0.803021576075975,0.9901958642129153
"past-be,pp_under_NP",1,1,0.4841794374634898,0.9621909840038778,0.0,0.2108291789271656,0.9912280701754396,0.4387473921227736,0.803021576075975,0.9901958642129153
"past-be,pp_against_NP",1,1,0.10304633832263498,0.20201163354338342,0.0,-0.10674142398668295,0.9649122807017553,0.4387473921227736,0.803021576075975,0.9901958642129153
"modal-be,pp_throughout_NP",1,1,0.37516636510271284,0.3358182760292176,0.0,0.08012536337736131,0.9912280701754396,0.4387473921227736,0.803021576075975,0.9901958642129153
"past-be,pp_during_NP",1,1,0.31871306374457126,0.6186783002100501,0.0,0.12521935650817229,0.9912280701754398,0.4387473921227736,0.803021576075975,0.9901958642129153
